hale	 adj.  健壮的， 矍铄的
pare	 v.  削； 修剪； 削减， 缩减
perpetrate	 v.  犯罪； 负责
elegy	 n.  哀歌， 挽歌
resound	 v.  回响； 鸣响
photosensitive	 adj.  感光性的
preposterous	 adj.  荒谬的
wigwag	 v.  摇动， 摇摆， 摆动
besot	 v.  使沉醉， 使糊涂
cumber	 v.  拖累， 妨碍
zoom	 v.  急速上升， 猛增
invalidate	 v.  使无效， 使作废
cardiologist	 n.  心脏病专家
commiserate	 v.  同情， 怜悯
unadorned	 adj.  未装饰的， 朴素的
maunder	 v.  胡扯； 游荡
lithe	 adj.  柔软的， 易弯曲的； 自然优雅的
iconographic	 adj.  肖像的， 肖像学的； 图解的
lug	 v. 拖，费力拉 n.  拖， 拉
intangible	 adj.  触摸不到的； 无形的
coherence	 n.  条理性， 连贯性
muniments	 n.  契据
uncharitable	 adj.  无慈悲心的
misshapen	 adj.  畸形的， 奇形怪状的
compassion	 n.  同情， 怜悯
ambiguous	 adj.  含糊的
infernal	 adj.  地狱的； 可恶的
allay	 v.  减轻， 缓和
crack	 v.  裂开； 破解 n. 爆裂声；裂缝
impulsive	 adj.  冲动的， 由冲动引起的； 易冲动的
dote	 v.  溺爱； 昏聩
palliate	 v.  减轻； 掩饰
soporific	 adj. 催眠的 n.  安眠药
grotesque	 adj.   怪诞的， 古怪的； 风格怪异的
adulterate	 v. 掺杂，掺假 adj.  掺杂的， 掺假的
clot	 v.  使凝结成块 n. 凝块
profile	 n.  轮廓， 外形； 侧面
milk	 v.  榨取
bilk	 v.  躲债； 骗取
tributary	 adj.  支流的； 辅助的； 进贡的 n. 支流；进贡国
acrid	 adj.  辛辣的， 刻薄的
bile	 n.  胆汁； 愤怒
clog	 v. 阻塞 n.  障碍
dose	 n.  剂量， 剂
convivial	 adj.  欢乐的， 快乐的
dilate	 v.  使膨胀， 使扩大
slavish	 adj.  卑屈的； 效仿的， 无创造性的
domain	 n.  领土； 领域
smear	 v. 弄脏，玷污 n.  污迹， 污点
willful	 adj.  任性的； 故意的
cloy	 v.  生腻， 吃腻
touched	 adj.  被感动的
dour	 adj.  严厉的， 阴郁的， 倔强的
bloated	 adj.  肿胀的； 傲慢的
mint	 n.  大量； 造币厂
adaptive	 adj.  适应的
chaotic	 adj.  混乱的
protozoan	 n.  原生动物
factorable	 adj.  能分解成因子的
addle	 v.  使腐坏； 使昏乱
grateful	 adj.  感激的， 感谢的
medieval	 adj.  中世纪的， 中古的
involve	 v.  包含， 含有； 参与； 牵涉， 牵连
requisite	 adj.  必要的， 必不可少的 n. 必需物
elude	 v.  逃避； 搞不清， 理解不了
obsequious	 adj.  逢迎的， 谄媚的
amnesia	 n.  健忘症
superannuate	 v.  使退休领养老金
inflexible	 adj.  坚定的， 不屈不挠的
supersede	 v.  淘汰； 取代
inch	 v.  慢慢前进， 慢慢移动
teetotal	 adj.  滴酒不沾的； 完全的， 全部的
dialect	 n.  方言
pulverize	 v.  使成粉末， 粉碎； 彻底击败
emergency	 n.  紧急情况， 不测事件， 非常时刻
impel	 v.  推进； 驱使
paralyze	 v.  使瘫痪； 使无效
down	 n.  绒毛； 软毛
faculty	 n.  全体教员； 能力， 技能
shifting	 adj.  变动的； 运动的
incumbent	 adj.  义不容辞的 n. 在职者，现任者
wretched	 adj.  可怜的， 不幸的， 悲惨的 in a very unhappy or unfortunate state)
glamor	 v. 迷惑 n.  魔法， 魔力； 迷人的美， 魅力
phlegmatic	 adj.  冷淡的， 不动感情的
fortitude	 n.  坚毅， 坚忍不拔
scruffy	 adj.  肮脏的， 不洁的
whoop	 n.  高喊， 欢呼
espionage	 n.  间谍活动
cajole	 v.  哄骗
impiety	 n.  不虔诚， 无信仰
exhaust	 v. 耗尽；使筋疲力尽 n.  废气
ostentatious	 adj.  华美的； 炫耀的
comely	 adj.  动人的， 美丽的
pretentious	 adj.  夸耀的， 炫耀的； 自命不凡的， 狂妄的
tackle	 v. 处理 n.  滑车
solvent	 adj. 有偿债能力的 n.  溶剂
pawn	 v. 典当，抵押 n.  典当， 抵押； 被利用的小人物
chuck	 v.  丢弃， 抛弃， 解雇； 辞职
divisive	 adj.  引起分歧的， 导致分裂的
squeeze	 v. 压，挤 n.  压榨， 紧握
winkle	 v.  挑出， 剔出， 取出
individualism	 n.  个人主义
premeditate	 v.  预谋， 预先考虑或安排
worthy	 adj. 值得的；有价值的 n.  知名人士
awry	 adj.  扭曲的， 走样的
preen	 v.  整理羽毛 to clean or smooth its feathers )； (人)打扮修饰(to dress up； primp)
egoistic	 adj.  自我中心的， 自私自利的
rudder	 n.  船舵； 领导者
continuation	 n.  继续， 延续
arrogant	 adj.  傲慢的， 自大的
ecstasy	 n.  狂喜； 出神， 入迷
arduous	 adj.  费力的， 艰难的
interpret	 v.  解释， 说明； 演绎
inherit	 v.  继承
rescission	 n.  撤销， 废除
atrocious	 adj.  残忍的， 凶恶的
behoove	 v.  理应， 有必要
frigid	 adj.  寒冷的； 冷漠的， 冷淡的
hermetic	 adj.  密封的； 神秘的， 深奥的
tantamount	 adj.  同等的， 相当于
misgiving	 n.  疑虑
discount	 n.  折扣
charisma	 n.  领袖气质； 魅力
fluorescent	 adj.  荧光的， 发亮的
relish	 v.  喜好， 享受 n. 美味，风味；喜好，兴趣
exasperate	 v.  激怒， 使恼怒
pancreas	 n.  胰腺
feat	 n.  功绩， 壮举
incessant	 adj.  不停的， 不断的
adversity	 n.  逆境， 不幸
inadvertent	 adj.  疏忽的； 不经意的， 无心的
torrent	 n.  洪流， 急流
pretension	 n.  自负， 骄傲； 要求， 主张
inexpiable	 adj.  不能补偿的
virtuous	 adj.  有美德的
cosmopolitan	 adj. 世界性的，全球的 n.  世界主义者， 四海为家的人
mite	 n.  极小量； 小虫
skew	 adj.  不直的， 歪斜的
ooze	 v.  慢慢地流， 渗出； 逐渐消失
renown	 n.  名望， 声誉
amalgamate	 v.  合并； 混合
petrify	 v.  石化； 吓呆
tussle	 v.  扭打， 争斗 n. 扭打，争斗；争辩
centrifugal	 adj.  离心的
skim	 v.  从液体表面撇去； 浏览， 略读
liquefy	 v.  液化， 溶解
emolument	 n.  报酬， 薪水
herald	 v. 宣布…的消息；预示…的来临 n.  传令官； 信使； 先驱
recur	 v.  重现， 再发生； 复发
grudge	 v.  吝惜， 勉强给或承认； 不满， 怨恨
recombine	 v.  重组， 再结合
mar	 v.  损坏， 毁坏； 损害…的健全
juncture	 n.  关键时刻， 危急关头； 结合处， 接合点
mat	 v.  缠结； 铺席于…上 n. 垫子，席子
assimilate	 v.  同化； 吸收
pilgrim	 n.  朝圣者； 旅行者
addict	 v.  沉溺； 上瘾
prostrate	 adj. 俯卧的；沮丧的 v.  使下跪鞠躬， 使拜服
virtuoso	 n.  艺术大师
parley	 v.  和谈， 会谈 n. 和谈；会谈
trustworthy	 adj.  值得信赖的， 可靠的
palliative	 adj.  减轻的， 缓和的 n. 缓释剂
disinterest	 v. 使失去兴趣 n.  无兴趣
convene	 v.  集合； 召集
anaerobic	 adj. 厌氧的 n.  厌氧微生物
insinuate	 v.  暗指， 暗示
fluvial	 adj.  河流的， 生长在河中的
syllable	 n. 音节
felicitous	 adj.  适当的， 得体的
masticate	 v.  咀嚼； 把…磨成浆
unavoidable	 adj.  不可避免的
hunker	 v.  蹲下； 顽固地坚持
chuckle	 v.  轻声地笑， 咯咯地笑
martial	 adj.  战争的， 军事的
skit	 n.  幽默讽刺短剧； 讽刺文章
hardihood	 n.  大胆， 刚毅； 厚颜
stodgy	 adj.  枯燥无味的
colorful	 adj.  富有色彩的； 有趣的
stupefy	 v.  使茫然， 使惊讶
traipse	 v.  漫步， 闲荡
ubiquitous	 adj.  无处不在的
constitution	 n.  宪法； 体质
whittle	 v.  削； 削减
conceive	 v.  想象， 构想； 怀孕
incandescent	 adj.  遇热发光的， 发白热光的
adulation	 n.  奉承， 谄媚
nonviable	 adj.  无法生存的， 不能成活的
airborne	 adj.  空运地, 空降的； 空气传播的
justification	 n.  正当的理由； 辩护
implode	 v.  内爆； 剧减
physical	 adj.  实质的， 有形的； 身体的， 肉体的
collude	 v.  串通， 共谋
garbled	 adj.  引起误解的； 窜改的
repeal	 v.  废除
wicked	 adj.  邪恶的； 讨厌的； 有害的； 淘气的
submerged	 adj.  在水中的， 淹没的
dismember	 v.  肢解； 分割
structure	 v.  建造 n. 结构
bellicose	 adj.  好战的， 好斗的
ripen	 v.  使成熟
circulation	 n.  循环， 流通； 发行量
authentic	 adj.  真正的， 真实的； 可信的
consonance	 n.  一致， 调和； 和音
magniloquent	 adj.  夸张的
slake	 v.  满足； 平息
excursive	 adj.  离题的
crash	 v.  猛撞； 猛冲直闯； 撞碎
patch	 n.  补丁； 一小片
consummate	 adj. 完全的，完善的 v.  完成
blissful	 adj.  极幸福的
crass	 adj.  愚钝的； 粗糙的
respiratory	 adj.  呼吸的
resident	 adj.  定居的， 常驻的 n. 居民
expurgate	 v.  删除， 删节
artless	 adj.  朴实的， 自然的； 粗俗的
aseptic	 adj.  净化的； 无菌的
substantial	 adj.  坚固的， 结实的； 实质的
illicit	 adj.  违法的
inspissate	 v.  浓缩
boost	 v.  增加， 提高； 促进； 往上推
sincere	 adj.  诚实的， 坦率的； 诚挚的
prolific	 adj.  多产的， 多果实的
tawdry	 adj.  华而不实的， 俗丽的
wanderlust	 n.  漫游癖， 旅游癖
outset	 n.  开始， 开头
eliminate	 v.  除去， 淘汰
parasitic	 adj.  寄生的
tractability	 n.  温顺
augment	 v.  提高， 增加
glance	 v. 瞥见 n.  一瞥
benign	 adj.  良性的； 亲切和蔼的； 慈祥的
acquit	 v.  宣告无罪； 脱卸义务和责任； 还清
redirect	 v.  改寄； 改变方向
stiff	 adj.  僵硬的， 呆板的， 严厉的
undifferentiated	 adj.  无差别的， 一致的
renewal	 n.  更新； 复兴， 振兴
piddle	 v.  鬼混， 浪费
slant	 v. 倾斜 n.  斜面； 观点
appeal	 v.  恳求； 有吸引力； 上诉
swamp	 v.  使陷入困境； 淹没 n. 沼泽
heavenly	 adj.  天空的， 天上的
abscond	 v.  潜逃， 逃亡
gyrate	 adj. 旋转的 v.  旋转， 回旋
negate	 v.  取消； 否认
swank	 v.  夸耀， 炫耀
hidebound	 adj.  思想偏狭且顽固的
glide	 v.  滑行， 滑动； 消消地溜走； 渐变
obliqueness	 n.  斜度； 倾斜
salvation	 n.  拯救； 救助
trepidation	 n.  恐惧， 惶恐
exclamation	 n.  惊叹词； 惊呼
aberrant	 adj.  越轨的； 异常的
eclectic	 adj.  折衷的； 兼容并蓄的
lateral	 adj.  侧面的
geomagnetic	 adj.  地磁的
formidable	 adj.  令人畏惧的， 可怕的； 难以克服的
abound	 v.  大量存在； 充满， 富于
coincidental	 adj.  巧合的； 同时发生的
nausea	 n.  作呕， 恶心
retch	 v.  作呕， 恶心
temperate	 adj.  温和的； 适度的， 有节制的
pestilent	 adj.  致命的； 有害的
hypothetical	 adj.  假设的
gospel	 n.  教义， 信条
culinary	 adj.  厨房的； 烹调的
dangle	 v.  悬荡， 悬摆 ； 吊胃口
defer	 v.  遵从， 听从； 延期
alloy	 n.  合金
drowsy	 adj.  昏昏欲睡的
jaundiced	 adj.  有偏见的
castigate	 v.  惩治， 严责
poisonous	 adj.  有毒的； 有害的
despicable	 adj.  可鄙的， 卑劣的
allot	 v.  分配； 拨出
gesture	 n.  姿势， 手势； 姿态， 表示
propel	 v.  推进， 促进
formidably	 adv.  可怕地， 难对付地， 强大地
urgency	 n.  紧急
philately	 n.  集邮
rampant	 adj.  猖獗的， 蔓生的
immature	 adj.  未充分成长的， 未完全发展的； 不成熟的
prologue	 n.  开场白； 序言； 序幕
unaffected	 adj.  自然的， 不矫揉造作的
ungrateful	 adj.  不感激的， 不领情的
unctuous	 adj.  油质的； 油腔滑调的
mythic	 adj.  神话的； 虚构的
overlook	 v.  俯视； 忽视
externalize	 v.  使…表面化
cello	 n.  大提琴
stocky	 adj.  矮而结实的， 粗壮的
urbanize	 v.  使都市化， 使文雅
ponderable	 adj.  可估量的
defrost	 v.  解冻； 将…除霜
euphoric	 adj.  欢欣的
euphoria	 n.  愉快的心情
oblique	 adj.  不直接的， 不坦率的； 斜的
bounteous	 adj.  慷慨的； 丰富的
cozen	 v.  欺骗, 哄骗
reliable	 adj. 可信赖的 n.  可信赖的人
glower	 v.  怒目而视
humor	 v.  纵容， 迁就
espy	 v.  突然看到； 望见
bombast	 n.  高调， 夸大之辞
punctilious	 adj.  一丝不苟的
obstacle	 n.  障碍， 妨碍物
azure	 adj.  蔚蓝的 n. 天蓝色
fickle	 adj.  易变的， 变化无常的， 不坚定的
sectarianism	 n.  宗派主义； 教派意识
collaborative	 adj.  协作的
deracinate	 v.  根除， 灭绝
constitute	 v.  组成， 构成； 建立
gorge	 n.  峡谷
fertilize	 v.  使受精； 使肥沃
inelasticity	 n.  无弹性， 无伸缩性
confederacy	 n.  联盟， 同盟
alluring	 adj.  吸引人的， 迷人的
continental	 adj.  大陆的， 大陆性的
flock	 n.  羊群； 鸟群
galvanize	 v.  刺激， 激起； 电镀； 通电
deprecate	 v.  反对； 轻视
signature	 n.  签名， 署名
excise	 v.  切除， 删去
astrology	 n.  占星术； 占星学
caress	 v.  爱抚或抚摸 n. 爱抚，抚摸
specified	 adj.  特定的
churl	 n.  粗鄙之人
punch	 v.  以拳猛击； 打孔
estimable	 adj.  值得尊敬的； 可估计的
refulgent	 adj.  辉煌的， 灿烂的
cramp	 v.  把…箍紧 n. 铁箍，夹子
spruce	 adj.  整洁的 n. 云杉
bygone	 adj.  过去的
repent	 v.  懊悔， 后悔
swallow	 v.  吞下， 咽下； 忍受
perquisite	 n.  额外收入， 津贴； 小费
stint	 v.  节制， 限量， 节省
sting	 v. 刺痛；叮螫 n.  螫刺
buckle	 v. 〔因高温或压力〕（使）弯曲；扭曲；（使）变形 n. 〔皮带等的〕金属扣环，扣子；带扣
nurture	 v. 养育，教养 n.  养育； 营养物
hasty	 adj.  急急忙忙的
perambulate	 v.  巡视； 漫步
provident	 adj.  深谋远虑的； 节俭的
infrequently	 adv.  稀少地， 罕见地
specifics	 n.  细小问题， 细节
craft	 n.  行业； 手艺
compunction	 n.  懊悔； 良心不安
informality	 n.  非正式， 不拘礼节
beleaguer	 v.  围攻； 骚扰
gaseous	 adj.  气体的， 气态的
negligent	 adj.  疏忽的， 粗心大意的
coarse	 adj.  粗糙的； 低劣的； 粗俗的
evade	 v.  躲避， 逃避； 规避
exiguous	 adj.  太少的， 不足的
suckle	 v.  给…哺乳； 吮吸
imply	 v.  暗示， 暗指
offset	 v.  补偿， 抵消
orchestrate	 v.  给…配管弦乐； 精心安排， 组织
capture	 v. 俘获；夺取或赢得 n.  战利品
excite	 v.  激发； 使动感情， 使激动 ； 使增加能量
peruse	 v.  细读， 精读
coward	 n.  胆小鬼
sulky	 adj.  生气的
unreliable	 adj.  不可靠的
diehard	 n.  顽固分子
permissive	 adj.  许可的， 容许的； 过分纵容的
abolition	 n.  废除， 废止
senile	 adj.  衰老的
opprobrious	 adj.  辱骂的， 侮辱的
protract	 v.  延长， 拖长
commonplace	 adj.  普通的， 平庸的
asteroid	 n.  小行星
libel	 v.  诽谤， 中伤 n. 诽谤，中伤
captivate	 v.  迷惑， 迷住
knotty	 adj.  多节的， 多瘤的； 困难的， 棘手的
derogate	 v.  贬低， 诽谤
jovial	 adj.  愉快的
sully	 v.  玷污， 污染
petulant	 adj.  暴躁的， 易怒的
stentorian	 adj.  声音洪亮的
percolate	 v.  过滤出； 渗透
overestimate	 v.  评价过高
humid	 adj.  湿润的
chisel	 v.  凿 n. 凿子
controversy	 n.  公开辩论, 论战
ultimately	 adv.  最后， 终于
nifty	 adj.  极好的， 极妙的
grimace	 v.  扮鬼脸 n. 鬼脸，面部扭曲
compulsory	 adj.  强制性的， 必须做的
discomfited	 adj.  困惑的， 尴尬的
detach	 v.  使分离， 使分开， 拆卸
slash	 v.  大量削减
locus	 n.  地点， 所在地
tally	 v.  一致， 符合
reversion	 n.  恢复， 复原； 逆转
annotate	 v.  注解
politically	 adv.  政治上
unjustifiable	 adj.  不合道理的
torrid	 adj.  酷热的
famine	 n.  饥荒
inept	 adj.  无能的； 不适当的
straggle	 v.  迷路； 落伍； 蔓延
agreeable	 adj.  令人愉快的； 欣然同意的
oscillate	 v.  摆动； 犹豫
coalesce	 v.  联合， 合并
progenitor	 n.  祖先
mushy	 adj.  糊状的； 感伤的， 多情的
perforate	 v.  打洞
rancid	 adj.  不新鲜的， 变味的
impetuous	 adj.  冲动的， 鲁莽的
overload	 v.  使超载
charismatic	 adj.  有魅力的
derelict	 adj. 荒废的；玩忽职守的；疏忽的 n.  被遗弃的人
contravene	 v.  违背
bemuse	 v.  使昏头昏脑， 使迷惑
connotation	 n.  言外之意， 内涵
brusque	 adj.  唐突的， 鲁莽的
utility	 n.  实用； 有用
eloquent	 adj.  雄辩的， 流利的
optimistic	 adj.  乐观的
agog	 adj.  兴奋的， 有强烈兴趣的
crumb	 n.  糕饼屑， 面包屑； 少许， 点滴
empiricism	 n.  经验主义
antipathy	 n.  反感， 厌恶
enthralling	 adj.  迷人的， 吸引人的
sweep	 v.  席卷， 扫过
descend	 v.  下降； 降格， 屈尊
flimsy	 adj.  轻而薄的； 易损坏的
slay	 v.  杀戮， 杀死
superlative	 adj.  最好的
onset	 n.  开始， 发作； 攻击， 袭击
toed	 adj.  有趾的
weird	 adj.  古怪的， 怪诞的， 离奇的
assiduous	 adj.  勤勉的； 专心的
farce	 n.  闹剧， 滑稽剧； 可笑的行为， 荒唐的事情
refute	 v.  反驳， 驳斥
exemplify	 v.  是…的典型， 作为…例子
virile	 adj.  有男子气的； 刚健的
ancillary	 adj. 辅助的 n.  助手
niggling	 adj.  琐碎的
gratuitous	 adj.  无缘无故的； 免费的
voucher	 n.  证件； 收据；  凭证；  代金券
vying	 adj.  竞争的
repetition	 n.  重复； 背诵
outmoded	 adj.  过时的
gibe	 v. 嘲弄，讥笑 n.  嘲笑， 讥笑
smarmy	 adj.  虚情假意的
lavender	 adj.  淡紫色的 n. 薰衣草
surrender	 v.  投降； 放弃； 归还
antithetical	 adj.  相反的； 对立的
hypnotic	 adj. 催眠的 n.  催眠药
obligatory	 adj.  强制性的， 义不容辞的
caste	 n.  社会等级， 等级
forbidding	 adj.  令人生畏的； 险恶的； 令人反感的， 讨厌的
exquisite	 adj.  精致的； 近乎完美的
wroth	 adj.  暴怒的， 非常愤怒的
cardinal	 adj. 首要的，主要的 n.  红衣主教
evergreen	 adj.  常绿的
beneficiary	 n.  受益人
skyrocket	 v.  突升， 猛涨
gluttonous	 adj.  贪吃的， 暴食的
perverse	 adj.  刚愎自用的， 固执的
